First Name,Last Name,Cap Hit
Nathan,Bastian,"$1,350,000"
Shane,Bowers,"$775,000"
Jesper,Bratt,"$7,875,000"
Paul,Cotter,"$775,000"
Justin,Dowling,"$775,000"
Erik,Haula,"$3,150,000"
Nico,Hischier,"$7,250,000"
Jack,Hughes,"$8,000,000"
Curtis,Lazar,"$1,000,000"
Kurtis,MacDermid,"$1,150,000"
Timo,Meier,"$8,800,000"
Dawson,Mercer,"$4,000,000"
Stefan,Noesen,"$2,750,000"
Ondrej,Palat,"$6,000,000"
Tomas,Tatar,"$1,800,000"
Nick,DeSimone,"$775,000"
Brenden,Dillon,"$4,000,000"
Dougie,Hamilton,"$9,000,000"
Santeri,Hatakka,"$775,000"
Luke,Hughes,"$925,000"
Johnathan,Kovacevic,"$766,667"
Brett,Pesce,"$5,500,000"
Jonas,Siegenthaler,"$3,400,000"
Jake,Allen,"$1,925,000"
Jacob,Markstrom,"$4,125,000"
Mathew,Barzal,"$9,150,000"
Casey,Cizikas,"$2,500,000"
Anthony,Duclair,"$3,500,000"
Pierre,Engvall,"$3,000,000"
Hudson,Fasching,"$775,000"
Simon,Holmstrom,"$850,000"
Bo,Horvat,"$8,500,000"
Anders,Lee,"$7,000,000"
Kyle,MacLean,"$775,000"
Matt,Martin,"$775,000"
Brock,Nelson,"$6,000,000"
Jean-Gabriel,Pageau,"$5,000,000"
Kyle,Palmieri,"$5,000,000"
Maxim,Tsyplakov,"$950,000"
Oliver,Wahlstrom,"$1,000,000"
Dennis,Cholowski,"$775,000"
Noah,Dobson,"$4,000,000"
Isaiah,George,"$838,333"
Grant,Hutton,"$775,000"
Scott,Mayfield,"$3,500,000"
Adam,Pelech,"$5,750,000"
Ryan,Pulock,"$6,150,000"
Mike,Reilly,"$1,250,000"
Alexander,Romanov,"$2,500,000"
Ilya,Sorokin,"$8,250,000"
Semyon,Varlamov,"$2,750,000"
Brett,Berard,"$867,500"
Jonny,Brodzinski,"$787,500"
Sam,Carrick,"$1,000,000"
Filip,Chytil,"$4,437,500"
Will,Cuylle,"$828,333"
Adam,Edstrom,"$846,667"
Kaapo,Kakko,"$2,400,000"
Chris,Kreider,"$6,500,000"
Alexis,Lafrenière,
Artemi,Panarin,"$11,642,857"
Reilly,Smith,"$3,750,000"
Vincent,Trocheck,"$5,625,000"
Jimmy,Vesey,"$800,000"
