Player ID,First Name,Last Name,Team Abbreviation,Sweater Number,Position,Goals,Assists,Points,Games Played,Plus/Minus
8479414,Nathan,Bastian,NJD,14,R,31,32,63,229,-14
8480032,Shane,Bowers,NJD,15,C,0,0,0,12,-1
8479407,Jesper,Bratt,NJD,63,L,139,248,387,496,-15
8481032,Paul,Cotter,NJD,47,C,29,28,57,163,-16
8475413,Justin,Dowling,NJD,37,C,8,13,21,113,-19
8475287,Erik,Haula,NJD,56,L,147,180,327,715,53
8480002,Nico,Hischier,NJD,13,C,149,228,377,477,22
8481559,Jack,Hughes,NJD,86,C,122,184,306,331,-43
8477508,Curtis,Lazar,NJD,42,C,46,76,122,536,-25
8477073,Kurtis,MacDermid,NJD,23,L,11,20,31,275,-28
8478414,Timo,Meier,NJD,28,R,198,199,397,565,-57
8482110,Dawson,Mercer,NJD,91,C,69,75,144,271,-20
8476474,Stefan,Noesen,NJD,11,R,68,78,146,391,22
8476292,Ondrej,Palat,NJD,18,L,165,318,483,772,139
8475193,Tomas,Tatar,NJD,90,L,223,264,487,878,49
8480084,Nick,DeSimone,NJD,57,D,2,5,7,38,-1
8475455,Brenden,Dillon,NJD,5,D,38,164,202,917,72
8476462,Dougie,Hamilton,NJD,7,D,145,333,478,796,68
8481701,Santeri,Hatakka,NJD,82,D,0,4,4,21,0
8482684,Luke,Hughes,NJD,43,D,10,43,53,100,-28
8480192,Johnathan,Kovacevic,NJD,8,D,10,26,36,168,28
8477488,Brett,Pesce,NJD,22,D,39,159,198,643,88
8478399,Jonas,Siegenthaler,NJD,71,D,9,55,64,337,29
8474596,Jake,Allen,NJD,34,G,0,6,0,437,0
8474593,Jacob,Markstrom,NJD,25,G,0,19,0,502,0
8478445,Mathew,Barzal,NYI,13,C,130,317,447,510,-3
8475231,Casey,Cizikas,NYI,53,C,108,139,247,838,11
8477407,Anthony,Duclair,NYI,11,L,148,158,306,568,39
8478115,Pierre,Engvall,NYI,18,L,60,65,125,333,30
8477392,Hudson,Fasching,NYI,20,R,15,21,36,137,-4
8481601,Simon,Holmstrom,NYI,10,R,24,20,44,148,-7
8477500,Bo,Horvat,NYI,14,C,246,273,519,755,-73
8475314,Anders,Lee,NYI,27,L,268,199,467,782,16
8481237,Kyle,MacLean,NYI,32,C,4,7,11,55,-3
8474709,Matt,Martin,NYI,17,L,81,96,177,967,-37
8475754,Brock,Nelson,NYI,29,C,285,263,548,863,10
8476419,Jean-Gabriel,Pageau,NYI,44,C,150,184,334,741,8
8475151,Kyle,Palmieri,NYI,21,C,256,242,498,841,-5
8484958,Maxim,Tsyplakov,NYI,7,R,3,10,13,23,4
8480789,Oliver,Wahlstrom,NYI,26,R,35,34,69,212,-12
8479395,Dennis,Cholowski,NYI,25,D,12,22,34,132,-48
8480865,Noah,Dobson,NYI,8,D,41,159,200,340,4
8483448,Isaiah,George,NYI,36,D,0,2,2,11,-4
8480306,Grant,Hutton,NYI,34,D,1,2,3,26,2
8476429,Scott,Mayfield,NYI,24,D,26,95,121,492,17
8476917,Adam,Pelech,NYI,3,D,26,118,144,511,72
8477506,Ryan,Pulock,NYI,6,D,48,151,199,509,56
8476422,Mike,Reilly,NYI,2,D,18,104,122,411,-10
8481014,Alexander,Romanov,NYI,28,D,13,52,65,302,27
8478009,Ilya,Sorokin,NYI,30,G,0,3,0,206,0
8473575,Semyon,Varlamov,NYI,40,G,0,8,0,620,0
8482132,Brett,Berard,NYR,65,L,1,1,2,2,0
8477380,Jonny,Brodzinski,NYR,22,C,17,23,40,170,12
8475842,Sam,Carrick,NYR,39,C,29,28,57,261,-37
8480078,Filip,Chytil,NYR,72,C,68,85,153,352,0
